CRICOS Provider Code,Institution Name,Location Name,Location Type,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Postcode
00018A,Department for Education,Cleve Area School,Location owned and operated by provider,Second Street,,,,Cleve,SA,5640
00018A,Department for Education,Clovelly Park Primary School,Location owned and operated by provider,1 Renown Pl,,,,Clovelly Park,SA,5042
00018A,Department for Education,Colonel Light Gardens Primary School,Location owned and operated by provider,Windsor Ave,,,,Colonel Light Gardens,SA,5041
00018A,Department for Education,Coromandel Valley Primary School,Location owned and operated by provider,339 Main Rd,,,,Coromandel Valley,SA,5051
00018A,Department for Education,Darlington Primary School,Location owned and operated by provider,9 White Cres,,,,Seacombe Gardens,SA,5047
00018A,Department for Education,Department for Education,Location owned and operated by provider,Ground Floor West,31 Flinders St,,,ADELAIDE,SA,5000
00018A,Department for Education,East Marden Primary School,Location owned and operated by provider,43 James St,,,,Campbelltown,SA,5074
00018A,Department for Education,East Torrens Primary School,Location owned and operated by provider,12 Robson Road,,,,Hectorville,SA,5073
00018A,Department for Education,Eastern Fleurieu R - 12 School,Location owned and operated by provider,11 Callington Rd,,,,Strathalbyn,SA,5255
00018A,Department for Education,Eden Hills Primary School,Location owned and operated by provider,78 Wilpena St,,,,Eden Hills,SA,5050
00018A,Department for Education,Findon High School,Location owned and operated by provider,Drummond Ave,,,,Findon,SA,5023
00018A,Department for Education,Flinders Park Primary School,Location owned and operated by provider,70 Holbrooks Road,,,,Flinders Park,SA,5025
00018A,Department for Education,Forbes Primary School,Location owned and operated by provider,80 Thomas St,,,,South Plympton,SA,5038
00018A,Department for Education,Gawler and District College B-12,Location owned and operated by provider,Barnet Rd,,,,EVANSTON,SA,5116
00018A,Department for Education,Gilles Street Primary School,Location owned and operated by provider,91 Gilles St,,,,Adelaide,SA,5000
00018A,Department for Education,Glen Osmond Primary School,Location owned and operated by provider,5 Fisher St,,,,Myrtle Bank,SA,5064
00018A,Department for Education,Glenelg Primary School,Location owned and operated by provider,Diagonal Rd,,,,Glenelg East,SA,5045
00018A,Department for Education,Glenunga International High School,Location owned and operated by provider,99 L'Estrange St,,,,Glenunga,SA,5064
00018A,Department for Education,Golden Grove High School,Location owned and operated by provider,Adey Pl,,,,Golden Grove,SA,5125
00018A,Department for Education,Goodwood Primary School,Location owned and operated by provider,140 Goodwood Rd,,,,Goodwood,SA,5037
00018A,Department for Education,Goolwa Secondary College,Location owned and operated by provider,2-30 Glendale Grove,,,,GOOLWA,SA,5214
00018A,Department for Education,Hallett Cove School,Location owned and operated by provider,2 Gledsdale Rd,,,,Hallett Cove,SA,5158
00018A,Department for Education,Hamilton Secondary College,Location owned and operated by provider,815 Marion Rd,,,,Mitchell Park,SA,5043
00018A,Department for Education,Hampstead Primary School,Location owned and operated by provider,38-56 Muller Road,,,,Greenacres,SA,5086
00018A,Department for Education,Hawthorndene Primary School,Location owned and operated by provider,Suffolk Rd,,,,Hawthorndene,SA,5051
00018A,Department for Education,Heathfield High School,Location owned and operated by provider,99 Longwood Rd,,,,Heathfield,SA,5153
00018A,Department for Education,Henley High School,Location owned and operated by provider,Cudmore Tce,,,,Henley Beach,SA,5002
00018A,Department for Education,Highgate School,Location owned and operated by provider,27 Avenue Rd,,,,Highgate,SA,5063
00018A,Department for Education,Ingle Farm Primary School,Location owned and operated by provider,2 Belalie Rd,,,,INGLE FARM,SA,5098
00018A,Department for Education,John Pirie Secondary School,Location owned and operated by provider,40 Mary Elie St,,,,PORT PIRIE,SA,5540
00018A,Department for Education,Kadina Memorial School,Location owned and operated by provider,5 Doswell Terrace,,,,KADINA,SA,5554
00018A,Department for Education,Kangaroo Island Community Education,Location owned and operated by provider,5 Centenary Ave,,,,Kingscote,SA,5223
00018A,Department for Education,Kapunda High School,Location owned and operated by provider,West Tce,,,,Kapunda,SA,5373
00018A,Department for Education,Kidman Park Primary School,Location owned and operated by provider,Dean Ave,,,,KIDMAN PARK,SA,5025
00018A,Department for Education,Kilkenny Primary School,Location owned and operated by provider,Jane St,,,,West Croydon,SA,5088
00018A,Department for Education,Le Fevre Peninsula Primary School,Location owned and operated by provider,Shorney St,,,,Birkenhead,SA,5015
00018A,Department for Education,Loxton High School,Location owned and operated by provider,1889 Bookpurnong Road,,,,Loxton,SA,5333
00018A,Department for Education,Lucindale Area School,Location owned and operated by provider,116 Gum Ave,,,,LUCINDALE,SA,5272
00018A,Department for Education,Marden Senior College,Location owned and operated by provider,1-37 Marden Road,,,,Marden,SA,5070
00018A,Department for Education,Marion Primary School,Location owned and operated by provider,2 Malcolm Ave,,,,MARION,SA,5043
00018A,Department for Education,Marryatville High School,Location owned and operated by provider,170 Kensington Rd,,,,Marryatville,SA,5068
00018A,Department for Education,Marryatville Primary School,Location owned and operated by provider,Dankel Ave,,,,Kensington,SA,5068
00018A,Department for Education,Millicent High School,Location owned and operated by provider,Mount Burr Rd,,,,Millicent,SA,5280
00018A,Department for Education,Mitcham Girls High School,Location owned and operated by provider,Kyre Ave,,,,Kingswood,SA,5062
00018A,Department for Education,Modbury High School,Location owned and operated by provider,62 Pompoota Rd,,,,MODBURY,SA,5092
00018A,Department for Education,Moonta Area School,Location owned and operated by provider,Moonta Area School,Blanche Tce,,,MOONTA,SA,5558
00018A,Department for Education,Morialta Secondary College,Location owned and operated by provider,Morialta Road,,,,ROSTREVOR,SA,5073
00018A,Department for Education,Mount Barker High School,Location owned and operated by provider,2 Wellington Rd,,,,Mount Barker,SA,5251
00018A,Department for Education,Mount Compass Area School,Location owned and operated by provider,School Road,,,,Mount Compass,SA,5210
00018A,Department for Education,Mount Gambier High School,Location owned and operated by provider,Brownes Rd,,,,Mount Gambier,SA,5290
00018A,Department for Education,Mount Gambier North Primary School,Location owned and operated by provider,9 Heath Street,,,,MOUNT GAMBIER,SA,5290
00018A,Department for Education,Murray Bridge High School,Location owned and operated by provider,Lohmann St,,,,Murray Bridge,SA,5253
00018A,Department for Education,Naracoorte High School,Location owned and operated by provider,Stewart Tce,,,,Naracoorte,SA,5271
00018A,Department for Education,Norwood International High School,Location owned and operated by provider,505 The Pde,,,,Magill,SA,5072
00018A,Department for Education,Norwood Primary School,Location owned and operated by provider,96 Beulah Rd,,,,Norwood,SA,5067
00018A,Department for Education,Nuriootpa High School,Location owned and operated by provider,Penrice Rd,,,,Nuriootpa,SA,5355
00018A,Department for Education,Oakbank Area School,Location owned and operated by provider,154 Onkaparinga Valley Rd,,,,OAKBANK,SA,5243
00018A,Department for Education,Ocean View P-12 College,Location owned and operated by provider,47 Gedville Road,,,,TAPEROO,SA,5017
00018A,Department for Education,Para Hills High School,Location owned and operated by provider,90 Beafield Rd,,,,Para Hills,SA,5096
00018A,Department for Education,Paradise Primary School,Location owned and operated by provider,100 George St,,,,Paradise,SA,5075
00018A,Department for Education,Parafield Gardens High School,Location owned and operated by provider,15 Shepherdson Rd,,,,Parafield Gardens,SA,5107
00018A,Department for Education,Paralowie R-12 School,Location owned and operated by provider,168-186 Whites Road,,,,Paralowie,SA,5108
00018A,Department for Education,Pennington School R-6,Location owned and operated by provider,Butler Avenue,,,,PENNINGTON,SA,5013
00018A,Department for Education,Playford Primary School,Location owned and operated by provider,216 Adams Rd,,,,CRAIGMORE,SA,5114
00018A,Department for Education,Plympton International College,Location owned and operated by provider,21a Errington St,,,,Plympton,SA,5038
00018A,Department for Education,Port Augusta Secondary School,Location owned and operated by provider,3 Stirling Road,,,,PORT AUGUSTA,SA,5700
00018A,Department for Education,Prospect North Primary School,Location owned and operated by provider,30 Stuart Road,,,,PROSPECT,SA,5082
00018A,Department for Education,Prospect Primary School,Location owned and operated by provider,27 Gladstone Rd,,,,PROSPECT,SA,5082
00018A,Department for Education,Renmark High School,Location owned and operated by provider,Thurk St,,,,Renmark,SA,5341
00018A,Department for Education,Renmark Primary School,Location owned and operated by provider,58 Murtho St,,,,Renmark,SA,5341
00018A,Department for Education,Reynella East College,Location owned and operated by provider,63 Malbeck Dr,,,,Reynella East,SA,5161
00018A,Department for Education,Richmond Primary School,Location owned and operated by provider,8 Surrey Road,,,,Keswick,SA,5035
00018A,Department for Education,Roma Mitchell Secondary College,Location owned and operated by provider,181 Hampstead Rd,,,,Northfield,SA,5085
00018A,Department for Education,Rose Park Primary School,Location owned and operated by provider,54 Alexandra Ave,,,,Rose Park,SA,5067
00018A,Department for Education,Roxby Downs Area School,Location owned and operated by provider,7 Richardson Place,,,,Roxby Downs,SA,5725
00018A,Department for Education,Salisbury East High School,Location owned and operated by provider,50 Smith Road,,,,Salisbury East,SA,5109
00018A,Department for Education,Salisbury North Primary School,Location owned and operated by provider,38 Bagster Rd,,,,Salisbury North,SA,5108
00018A,Department for Education,Seaford Secondary School,Location owned and operated by provider,Lynton Tce,,,,Seaford,SA,5169
00018A,Department for Education,Seaton High School,Location owned and operated by provider,Glenburnie St,,,,Seaton,SA,5023
00018A,Department for Education,Seaview High School,Location owned and operated by provider,78/124 Seacombe Road,,,,Seacombe Heights,SA,5047
00018A,Department for Education,St Leonards Primary School,Location owned and operated by provider,Jervois St,,,,Glenelg North,SA,5045
00018A,Department for Education,Sturt Street Community School,Location owned and operated by provider,221 Sturt St,,,,Adelaide,SA,5000
00018A,Department for Education,Swan Reach Area School,Location owned and operated by provider,8 Showground Road,,,,Swan Reach,SA,5354
00018A,Department for Education,The Heights School,Location owned and operated by provider,Brunel Dr,,,,Modbury Heights,SA,5092
00018A,Department for Education,The Pines School,Location owned and operated by provider,42 Andrew Smith Dr,,,,Parafield Gardens,SA,5017
00018A,Department for Education,Thebarton Senior College,Location owned and operated by provider,40 Ashley St,,,,Torrensville,SA,5031
00018A,Department for Education,Thorndon Park Primary School,Location owned and operated by provider,71 Stradbroke Road,,,,Athelstone,SA,5076
00018A,Department for Education,Underdale High School,Location owned and operated by provider,19 Garden Tce,,,,Underdale,SA,5032
00018A,Department for Education,Unley High School,Location owned and operated by provider,Kitchener St,,,,Netherby,SA,5062
00018A,Department for Education,Urrbrae Agricultural High School,Location owned and operated by provider,c,,,,Netherby,SA,5062
00018A,Department for Education,Vale Park Primary School,Location owned and operated by provider,40 Ascot Ave,,,,VALE PARK,SA,5081
00018A,Department for Education,Valley View Secondary School,Location owned and operated by provider,240 Wright Rd,,,,PARA VISTA,SA,5093
00018A,Department for Education,Victor Harbor High School,Location owned and operated by provider,George Main Rd,,,,Victor Harbor,SA,5212
00018A,Department for Education,Victor Harbor Primary School,Location owned and operated by provider,The Parkway,,,,VICTOR HARBOR,SA,5211
00018A,Department for Education,Waikerie High School,Location owned and operated by provider,24 Blake Rd,,,,WAIKERIE,SA,5330
00018A,Department for Education,Walkerville Primary School,Location owned and operated by provider,159 Stephen Tce,,,,Walkerville,SA,5081
00018A,Department for Education,West Beach Primary School,Location owned and operated by provider,3 Woodhead St,,,,West Beach,SA,5024
00018A,Department for Education,Whyalla Secondary College,Location owned and operated by provider,Nicolson Avenue,,,,Whyalla Norrie,SA,5608
00018A,Department for Education,Willunga High School,Location owned and operated by provider,239 Main Rd,,,,WILLUNGA,SA,5172
00018A,Department for Education,Wirreanda Secondary School,Location owned and operated by provider,105 Richards Dr,,,,Morphett Vale,SA,5162
00018A,Department for Education,Woodville Gardens Primary School,Location owned and operated by provider,18 Ridley Grove,,,,Woodville Gardens,SA,5012
00018A,Department for Education,Woodville High School,Location owned and operated by provider,11 Actil Ave,,,,Woodville,SA,5011
00018A,Department for Education,Woodville Primary School,Location owned and operated by provider,Evans St,,,,Woodville South,SA,5011
00020G,Department of Training and Workforce Development,Central Regional TAFE - Kalgoorlie Campus,Location owned and operated by provider,67 Brookman St,,,,KALGOORLIE,WA,6430
00020G,Department of Training and Workforce Development,"Central Regional TAFE, Geraldton Campus",Location owned and operated by provider,175 Fitzergerald St,,,,Geraldton,WA,6530
00020G,Department of Training and Workforce Development,"Central Regional TAFE, Northam Campus",Location owned and operated by provider,1 Hutt St,,,,Northam,WA,6401
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Balga Campus",Location owned and operated by provider,18 Loxwood Rd,,,,Balga,WA,6061
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, East Perth Campus",Location owned and operated by provider,140 Royal St,,,,East Perth,WA,6004
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Joondalup Campus",Location owned and operated by provider,35 Kendrew Cres,,,,Joondalup,WA,6027
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Leederville Campus",Location owned and operated by provider,43 Richmond St,,,,Leederville,WA,6007
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Mt Lawley Campus",Location owned and operated by provider,397 Lord St,,,,Mt Lawley,WA,6050
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Perth Campus",Location owned and operated by provider,25 Aberdeen Street Perth,,,,Northbridge,WA,6003
00020G,Department of Training and Workforce Development,"North Metropolitan TAFE, Trades North Campus",Location owned and operated by provider,31 Harmony Ave,,,,Clarkson,WA,6030
00020G,Department of Training and Workforce Development,"North Regional TAFE, Broome Campus",Location owned and operated by provider,68 Cable Beach Rd,,,,Broome,WA,6725
00020G,Department of Training and Workforce Development,South Metropolitan TAFE - Fremantle Campus,Location owned and operated by provider,1 Fleet Street,,,,Fremantle,WA,6169
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Aerospace Training Centre Jandakot",Location owned and operated by provider,23 Eagle Dr,,,,Jandakot,WA,6164
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Bentley Campus",Location owned and operated by provider,24 Hayman Rd,,,,Bentley,WA,6102
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Carlisle Campus",Location owned and operated by provider,141 Bank St,,,,Carlisle,WA,6101
