region,total,lat,lon,state,remoteness,n_government,n_catholic,n_independent,dominant_sector
Stonnington - East,14,-37.8664,145.05,VIC,Major Cities,4,7,3,Catholic
Stonnington - West,21,-37.8462,145.007,VIC,Major Cities,6,5,10,Independent
Strathfield - Burwood - Ashfield,55,-33.8862,151.1113,NSW,Major Cities,27,12,16,Government
Strathpine,15,-27.2856,152.9763,QLD,Major Cities,9,3,3,Government
Sunbury,16,-37.5773,144.7218,VIC,Major Cities,10,5,1,Government
Sunnybank,13,-27.5883,153.0633,QLD,Major Cities,9,2,2,Government
Sunshine Coast Hinterland,24,-26.7586,152.9236,QLD,Inner Regional,20,0,4,Government
Surf Coast - Bellarine Peninsula,31,-38.2667,144.4427,VIC,Inner Regional,22,7,2,Government
Surfers Paradise,4,-28.0073,153.3977,QLD,Major Cities,3,1,0,Government
Sutherland - Menai - Heathcote,48,-34.0355,151.0396,NSW,Major Cities,34,7,7,Government
Swan,63,-31.8389,115.9718,WA,Major Cities,36,7,20,Government
Sydney Inner City,51,-33.8855,151.1996,NSW,Major Cities,28,6,17,Government
Tablelands (East) - Kuranda,28,-17.2768,145.4761,QLD,Outer Regional,20,5,3,Government
Tamworth - Gunnedah,63,-31.1099,150.6941,NSW,Outer Regional,45,11,7,Government
Taree - Gloucester,36,-31.8908,152.389,NSW,Inner Regional,28,4,4,Government
Tea Tree Gully,32,-34.8141,138.7018,SA,Major Cities,22,5,5,Government
The Gap - Enoggera,20,-27.419,152.9623,QLD,Major Cities,11,6,3,Government
The Hills District,15,-27.3546,152.9204,QLD,Major Cities,10,1,4,Government
Toowoomba,78,-27.5626,151.9798,QLD,Inner Regional,44,16,18,Government
Townsville,74,-19.2794,146.7435,QLD,Outer Regional,39,16,19,Government
Tuggeranong,32,-35.4191,149.0949,ACT,Major Cities,22,7,3,Government
Tullamarine - Broadmeadows,75,-37.6345,144.9172,VIC,Major Cities,51,12,12,Government
Tumut - Tumbarumba,16,-35.51,148.1313,NSW,Inner Regional,12,4,0,Government
Tweed Valley,51,-28.2846,153.4631,NSW,Major Cities,31,8,12,Government
Unley,13,-34.9534,138.6093,SA,Major Cities,6,2,5,Government
Upper Goulburn Valley,53,-37.0797,145.5763,VIC,Inner Regional,39,8,6,Government
Upper Hunter,24,-32.1521,150.7897,NSW,Inner Regional,15,5,4,Government
Upper Murray exc. Albury,36,-35.6907,145.4307,NSW,Inner Regional,29,6,1,Government
Wagga Wagga,76,-34.9928,147.4668,NSW,Inner Regional,52,14,10,Government
Wangaratta - Benalla,48,-36.455,146.224,VIC,Inner Regional,34,9,5,Government
Wanneroo,76,-31.7117,115.7633,WA,Major Cities,53,8,15,Government
Warringah,64,-33.7432,151.2485,NSW,Major Cities,32,10,22,Government
Warrnambool,30,-38.3183,142.4826,VIC,Inner Regional,20,9,1,Government
Wellington,37,-38.1326,146.982,VIC,Inner Regional,27,8,2,Government
West Coast,17,-41.2156,145.2321,TAS,Outer Regional,13,3,1,Government
West Pilbara,19,-21.3023,116.9567,WA,Remote,17,2,0,Government
West Torrens,25,-34.9372,138.5526,SA,Major Cities,12,5,8,Government
Weston Creek,10,-35.3406,149.0518,ACT,Major Cities,4,2,4,Government
Wheat Belt - North,59,-31.2307,116.9455,WA,Outer Regional,49,7,3,Government
Wheat Belt - South,24,-32.8579,117.5561,WA,Outer Regional,23,1,0,Government
Whitehorse - East,19,-37.8362,145.1859,VIC,Major Cities,11,6,2,Government
Whitehorse - West,37,-37.8292,145.1366,VIC,Major Cities,23,8,6,Government
Whitsunday,7,-20.3136,148.7095,QLD,Outer Regional,5,1,1,Government
Whittlesea - Wallan,85,-37.6159,145.0459,VIC,Major Cities,56,19,10,Government
Woden Valley,15,-35.35,149.0911,ACT,Major Cities,10,3,2,Government
Wodonga - Alpine,61,-36.3445,146.9853,VIC,Inner Regional,47,10,4,Government
Wollondilly,18,-34.1827,150.6137,NSW,Inner Regional,16,1,1,Government
Wollongong,58,-34.3717,150.9007,NSW,Major Cities,41,8,9,Government
Wyndham,95,-37.8754,144.6808,VIC,Major Cities,62,20,13,Government
Wynnum - Manly,19,-27.4588,153.1597,QLD,Major Cities,11,4,4,Government
Wyong,52,-33.2744,151.472,NSW,Major Cities,33,9,10,Government
Yarra,42,-37.8036,144.9948,VIC,Major Cities,24,9,9,Government
Yarra Ranges,92,-37.7957,145.4229,VIC,Major Cities,63,10,19,Government
Yorke Peninsula,16,-34.4254,137.6535,SA,Outer Regional,12,2,2,Government
Young - Yass,30,-34.571,148.6047,NSW,Inner Regional,24,5,1,Government
