"ACARA SML ID","School Name","Suburb","State","Postcode","School Sector","School Type","ICSEA Percentile","CRICOS Status","CRICOS Registered","Jitter","Match Type","CRICOS Provider Code","CRICOS Institution","CRICOS Location"
"49883","Aranda Primary School","Aranda","ACT","2614","Government","Primary","96","CRICOS registered","1","-0.307","Location name, state and postcode","00643J","ACT Education Directorate","Aranda Primary School"
"49884","Belconnen High School","Hawker","ACT","2614","Government","Secondary","74","CRICOS registered","1","-0.2783","Location name, state and postcode","00643J","ACT Education Directorate","Belconnen High School"
"49885","Canberra High School","Macquarie","ACT","2614","Government","Secondary","84","CRICOS registered","1","-0.2496","Location name, state and postcode","00643J","ACT Education Directorate","Canberra High School"
"49886","Charnwood-Dunlop School","Charnwood","ACT","2615","Government","Primary","41","CRICOS registered","1","-0.2209","Location name, state and postcode","00643J","ACT Education Directorate","Charnwood-Dunlop School"
"49887","Evatt Primary School","Evatt","ACT","2617","Government","Primary","67","CRICOS registered","1","-0.1922","Location name, state and postcode","00643J","ACT Education Directorate","Evatt Primary School"
"49888","Florey Primary School","Florey","ACT","2615","Government","Primary","65","CRICOS registered","1","-0.1635","Location name, state and postcode","00643J","ACT Education Directorate","Florey Primary School"
"49889","Fraser Primary School","Fraser","ACT","2615","Government","Primary","65","CRICOS registered","1","-0.1348","Location name, state and postcode","00643J","ACT Education Directorate","Fraser Primary School"
"49890","Giralang Primary School","Giralang","ACT","2617","Government","Primary","75","CRICOS registered","1","-0.1061","Location name, state and postcode","00643J","ACT Education Directorate","Giralang Primary School"
"49891","Gold Creek School","Nicholls","ACT","2913","Government","Combined","69","CRICOS registered","1","-0.0774","Location name, state and postcode","00643J","ACT Education Directorate","Gold Creek School"
"49892","Harrison School","Harrison","ACT","2914","Government","Combined","71","CRICOS registered","1","-0.0487","Location name, state and postcode","00643J","ACT Education Directorate","Harrison School"
"49893","Hawker Primary School","Hawker","ACT","2614","Government","Primary","91","CRICOS registered","1","-0.02","Location name, state and postcode","00643J","ACT Education Directorate","Hawker Primary School"
"49894","Jervis Bay School","Jervis Bay","ACT","2540","Government","Primary","3","Not registered","0","0.0087","","","",""
"49895","University of Canberra High School Kaleen","Kaleen","ACT","2617","Government","Secondary","71","Not registered","0","0.0374","","","",""
"49896","Kaleen Primary School","Kaleen","ACT","2617","Government","Primary","77","CRICOS registered","1","0.0662","Location name, state and postcode","00643J","ACT Education Directorate","Kaleen Primary School"
"49897","University of Canberra Senior Secondary College Lake Ginninderra","Belconnen","ACT","2616","Government","Secondary","74","Not registered","0","0.0949","","","",""
"49898","Latham Primary School","Latham","ACT","2615","Government","Primary","63","Not registered","0","0.1236","","","",""
"49899","Macgregor Primary School","Macgregor","ACT","2615","Government","Primary","68","CRICOS registered","1","0.1523","Location name, state and postcode","00643J","ACT Education Directorate","Macgregor Primary School"
"49900","Macquarie Primary School","Macquarie","ACT","2614","Government","Primary","75","CRICOS registered","1","0.181","Location name, state and postcode","00643J","ACT Education Directorate","Macquarie Primary School"
"49901","Maribyrnong Primary School","Kaleen","ACT","2617","Government","Primary","84","CRICOS registered","1","0.2097","Location name, state and postcode","00643J","ACT Education Directorate","Maribyrnong Primary School"
"49902","Melba Copland Secondary School","Melba","ACT","2615","Government","Secondary","65","CRICOS registered","1","0.2384","Location name, state and postcode","00643J","ACT Education Directorate","Melba Copland Secondary School"
"49903","Miles Franklin Primary School","Evatt","ACT","2617","Government","Primary","78","CRICOS registered","1","0.2671","Location name, state and postcode","00643J","ACT Education Directorate","Miles Franklin Primary School"
"49904","Mount Rogers Primary School","Melba","ACT","2615","Government","Primary","71","CRICOS registered","1","0.2958","Location name, state and postcode","00643J","ACT Education Directorate","Mount Rogers Primary School"
"49905","Ngunnawal Primary School","Ngunnawal","ACT","2913","Government","Primary","68","CRICOS registered","1","0.3245","Location name, state and postcode","00643J","ACT Education Directorate","Ngunnawal Primary School"
"49906","Palmerston District Primary School","Palmerston","ACT","2913","Government","Primary","78","CRICOS registered","1","0.3532","Location name, state and postcode","00643J","ACT Education Directorate","Palmerston District Primary School"
"49907","Weetangera Primary School","Weetangera","ACT","2614","Government","Primary","88","CRICOS registered","1","-0.3381","Location name, state and postcode","00643J","ACT Education Directorate","Weetangera Primary School"
"49908","Cranleigh School","Holt","ACT","2615","Government","Special","62","Not registered","0","-0.3094","","","",""
"49909","Kingsford Smith School","Holt","ACT","2615","Government","Combined","43","CRICOS registered","1","-0.2807","Location name, state and postcode","00643J","ACT Education Directorate","Kingsford Smith School"
"49910","Ainslie School","Braddon","ACT","2612","Government","Primary","91","CRICOS registered","1","-0.252","Location name, state and postcode","00643J","ACT Education Directorate","Ainslie School"
"49911","Alfred Deakin High School","Deakin","ACT","2600","Government","Secondary","92","CRICOS registered","1","-0.2232","Location name, state and postcode","00643J","ACT Education Directorate","Alfred Deakin High School"
"49912","Campbell High School","Campbell","ACT","2612","Government","Secondary","89","CRICOS registered","1","-0.1945","Location name, state and postcode","00643J","ACT Education Directorate","Campbell High School"
"49913","Campbell Primary School","Campbell","ACT","2612","Government","Primary","92","Not registered","0","-0.1658","","","",""
"49914","Curtin Primary School","Curtin","ACT","2605","Government","Primary","94","CRICOS registered","1","-0.1371","Location name, state and postcode","00643J","ACT Education Directorate","Curtin Primary School"
"49915","Dickson College","Dickson","ACT","2602","Government","Secondary","84","CRICOS registered","1","-0.1084","Location name, state and postcode","00643J","ACT Education Directorate","Dickson College"
"49916","Farrer Primary School","Farrer","ACT","2607","Government","Primary","84","CRICOS registered","1","-0.0797","Location name, state and postcode","00643J","ACT Education Directorate","Farrer Primary School"
"49917","Forrest Primary School","Forrest","ACT","2603","Government","Primary","94","CRICOS registered","1","-0.051","Location name, state and postcode","00643J","ACT Education Directorate","Forrest Primary School"
"49918","Garran Primary School","Garran","ACT","2605","Government","Primary","96","CRICOS registered","1","-0.0223","Location name, state and postcode","00643J","ACT Education Directorate","Garran Primary School"
"49919","Hughes Primary School","Hughes","ACT","2605","Government","Primary","96","CRICOS registered","1","0.0064","Location name, state and postcode","00643J","ACT Education Directorate","Hughes Primary School"
"49920","Lyneham High School","Lyneham","ACT","2602","Government","Secondary","92","CRICOS registered","1","0.0351","Location name, state and postcode","00643J","ACT Education Directorate","Lyneham High School"
"49921","Lyneham Primary School","Lyneham","ACT","2602","Government","Primary","92","CRICOS registered","1","0.0638","Location name, state and postcode","00643J","ACT Education Directorate","Lyneham Primary School"
"49922","Majura Primary School","Watson","ACT","2602","Government","Primary","92","Not registered","0","0.0925","","","",""
"49923","Mawson Primary School","Mawson","ACT","2607","Government","Primary","93","CRICOS registered","1","0.1212","Location name, state and postcode","00643J","ACT Education Directorate","Mawson Primary School"
"49924","Melrose High School","Pearce","ACT","2607","Government","Secondary","78","CRICOS registered","1","0.1499","Location name, state and postcode","00643J","ACT Education Directorate","Melrose High School"
"49925","North Ainslie Primary School","Ainslie","ACT","2602","Government","Primary","94","CRICOS registered","1","0.1786","Location name, state and postcode","00643J","ACT Education Directorate","North Ainslie Primary School"
"49926","Red Hill Primary School","Red Hill","ACT","2603","Government","Primary","92","CRICOS registered","1","0.2074","Location name, state and postcode","00643J","ACT Education Directorate","Red Hill Primary School"
"49927","Telopea Park School","Barton","ACT","2600","Government","Combined","96","CRICOS registered","1","0.2361","Location name, state and postcode","00643J","ACT Education Directorate","Telopea Park School"
"49928","Torrens Primary School","Torrens","ACT","2607","Government","Primary","78","CRICOS registered","1","0.2648","Location name, state and postcode","00643J","ACT Education Directorate","Torrens Primary School"
"49929","Turner School","Turner","ACT","2612","Government","Primary","94","Not registered","0","0.2935","","","",""
"49930","Yarralumla Primary School","Yarralumla","ACT","2600","Government","Primary","94","CRICOS registered","1","0.3222","Location name, state and postcode","00643J","ACT Education Directorate","Yarralumla Primary School"
"49931","Black Mountain School","O'Connor","ACT","2602","Government","Special","60","Not registered","0","0.3509","","","",""
"49932","Malkara School","Garran","ACT","2605","Government","Special","56","Not registered","0","-0.3404","","","",""
"49933","The Woden School","Deakin","ACT","2600","Government","Special","67","Not registered","0","-0.3117","","","",""
"49934","Arawang Primary School","Waramanga","ACT","2611","Government","Primary","88","CRICOS registered","1","-0.283","Location name, state and postcode","00643J","ACT Education Directorate","Arawang Primary School"
